"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurgUAC","5140","Standards Variance","Standards Change Variance","","aAO8Y000000OIj4WAG"
"a8C8Y000000CurgUAC","2135","Sales Tax Payable","Liability Accounts","","aAO8Y000000OIiVWAW"
"a8C8Y000000CurgUAC","4100","Freight Income","Revenue","","aAO8Y000000OIinWAG"
"a8C8Y000000CurgUAC","4105","Packaging Income","Revenue","","aAO8Y000000OIioWAG"
"a8C8Y000000CurgUAC","5165","Material OHD Clearing","OTH Clearing","","aAO8Y000000OIj8WAG"
"a8C8Y000000CurgUAC","5185","Fringe OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIjCWAW"
"a8C8Y000000CurgUAC","5150","Work Order/Subcontract Variance","WO/Subc PO Variance","","aAO8Y000000OIj6WAG"
"a8C8Y000000CurgUAC","1200","Accounts Receivable","Other","","aAO8Y000000OIhwWAG"
"a8C8Y000000CurgUAC","5180","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIjBWAW"
"a8C8Y000000CurgUAC","5100-1","Inventory, Scrap","General Scrap","","aAO8Y000000OIixWAG"
"a8C8Y000000CurgUAC","5135","Invoice - Receipt Quantity Variance","Variance","","aAO8Y000000OIj3WAG"
"a8C8Y000000CurgUAC","1415","Work Order WIP","WIP","","aAO8Y000000OId7WAG"
"a8C8Y000000CurgUAC","5105","Inventory Adjustment","Inventory Adjustment","","aAO8Y000000OIiyWAG"
